Date,Instagram reach
2022-04-01T00:00:00,7620
2022-04-02T00:00:00,12859
2022-04-03T00:00:00,16008
2022-04-04T00:00:00,24349
2022-04-05T00:00:00,20532
2022-04-06T00:00:00,19408
2022-04-07T00:00:00,14941
2022-04-08T00:00:00,17263
2022-04-09T00:00:00,20224
2022-04-10T00:00:00,30471
2022-04-11T00:00:00,39774
2022-04-12T00:00:00,43550
2022-04-13T00:00:00,42342
2022-04-14T00:00:00,55477
2022-04-15T00:00:00,54391
2022-04-16T00:00:00,44108
2022-04-17T00:00:00,49089
2022-04-18T00:00:00,42790
2022-04-19T00:00:00,49940
2022-04-20T00:00:00,45763
2022-04-21T00:00:00,38457
2022-04-22T00:00:00,45197
2022-04-23T00:00:00,42367
2022-04-24T00:00:00,36076
2022-04-25T00:00:00,34467
2022-04-26T00:00:00,36772
2022-04-27T00:00:00,35349
2022-04-28T00:00:00,27926
2022-04-29T00:00:00,26184
2022-04-30T00:00:00,26410
2022-05-01T00:00:00,32637
2022-05-02T00:00:00,42204
2022-05-03T00:00:00,47632
2022-05-04T00:00:00,35793
2022-05-05T00:00:00,35945
2022-05-06T00:00:00,35574
2022-05-07T00:00:00,26940
2022-05-08T00:00:00,27495
2022-05-09T00:00:00,19660
2022-05-10T00:00:00,24138
2022-05-11T00:00:00,23391
2022-05-12T00:00:00,16748
2022-05-13T00:00:00,17489
2022-05-14T00:00:00,18171
2022-05-15T00:00:00,29682
2022-05-16T00:00:00,33085
2022-05-17T00:00:00,50797
2022-05-18T00:00:00,54392
2022-05-19T00:00:00,35649
2022-05-20T00:00:00,33654
2022-05-21T00:00:00,46443
2022-05-22T00:00:00,50465
2022-05-23T00:00:00,51263
2022-05-24T00:00:00,55647
2022-05-25T00:00:00,68448
2022-05-26T00:00:00,73815
2022-05-27T00:00:00,74077
2022-05-28T00:00:00,67922
2022-05-29T00:00:00,80600
2022-05-30T00:00:00,73835
2022-05-31T00:00:00,83221
2022-06-01T00:00:00,77190
2022-06-02T00:00:00,83630
2022-06-03T00:00:00,65133
2022-06-04T00:00:00,72761
2022-06-05T00:00:00,67778
2022-06-06T00:00:00,54560
2022-06-07T00:00:00,32643
2022-06-08T00:00:00,24889
2022-06-09T00:00:00,27046
2022-06-10T00:00:00,55433
2022-06-11T00:00:00,64168
2022-06-12T00:00:00,69366
2022-06-13T00:00:00,59358
2022-06-14T00:00:00,46011
2022-06-15T00:00:00,38286
2022-06-16T00:00:00,89665
2022-06-17T00:00:00,133807
2022-06-18T00:00:00,103309
2022-06-19T00:00:00,112461
2022-06-20T00:00:00,114870
2022-06-21T00:00:00,115782
2022-06-22T00:00:00,110319
2022-06-23T00:00:00,51336
2022-06-24T00:00:00,54666
2022-06-25T00:00:00,62637
2022-06-26T00:00:00,66525
2022-06-27T00:00:00,61001
2022-06-28T00:00:00,73659
2022-06-29T00:00:00,59505
2022-06-30T00:00:00,60504
2022-07-01T00:00:00,69593
2022-07-02T00:00:00,76763
2022-07-03T00:00:00,63917
2022-07-04T00:00:00,60591
2022-07-05T00:00:00,66350
2022-07-06T00:00:00,62711
2022-07-07T00:00:00,70608
2022-07-08T00:00:00,61222
2022-07-09T00:00:00,51758
2022-07-10T00:00:00,62099
2022-07-11T00:00:00,69686
2022-07-12T00:00:00,78896
2022-07-13T00:00:00,68331
2022-07-14T00:00:00,59660
2022-07-15T00:00:00,58746
2022-07-16T00:00:00,59599
2022-07-17T00:00:00,110544
2022-07-18T00:00:00,117070
2022-07-19T00:00:00,122530
2022-07-20T00:00:00,81669
2022-07-21T00:00:00,74793
2022-07-22T00:00:00,82299
2022-07-23T00:00:00,81336
2022-07-24T00:00:00,70291
2022-07-25T00:00:00,77767
2022-07-26T00:00:00,62322
2022-07-27T00:00:00,62659
2022-07-28T00:00:00,69659
2022-07-29T00:00:00,57778
2022-07-30T00:00:00,55289
2022-07-31T00:00:00,63183
2022-08-01T00:00:00,68727
2022-08-02T00:00:00,74334
2022-08-03T00:00:00,72809
2022-08-04T00:00:00,53647
2022-08-05T00:00:00,89747
2022-08-06T00:00:00,91473
2022-08-07T00:00:00,88629
2022-08-08T00:00:00,103756
2022-08-09T00:00:00,134856
2022-08-10T00:00:00,123226
2022-08-11T00:00:00,134762
2022-08-12T00:00:00,118660
2022-08-13T00:00:00,29813
2022-08-14T00:00:00,22671
2022-08-15T00:00:00,18341
2022-08-16T00:00:00,14616
2022-08-17T00:00:00,11427
2022-08-18T00:00:00,16703
2022-08-19T00:00:00,10989
2022-08-20T00:00:00,17251
2022-08-21T00:00:00,20968
2022-08-22T00:00:00,13249
2022-08-23T00:00:00,14045
2022-08-24T00:00:00,13598
2022-08-25T00:00:00,17944
2022-08-26T00:00:00,86559
2022-08-27T00:00:00,114821
2022-08-28T00:00:00,89385
2022-08-29T00:00:00,87489
2022-08-30T00:00:00,106211
2022-08-31T00:00:00,92920
2022-09-01T00:00:00,84745
2022-09-02T00:00:00,86010
2022-09-03T00:00:00,105478
2022-09-04T00:00:00,129544
2022-09-05T00:00:00,120165
2022-09-06T00:00:00,100047
2022-09-07T00:00:00,92885
2022-09-08T00:00:00,120963
2022-09-09T00:00:00,107493
2022-09-10T00:00:00,97374
2022-09-11T00:00:00,116321
2022-09-12T00:00:00,105488
2022-09-13T00:00:00,87666
